Country Code,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Restaurant Name len,Address len
162,121.027535,14.565443,1100,1,0,0,3,4.8,314,16,5
162,121.014101,14.553708,1200,1,0,0,3,4.5,591,16,4
162,121.056831,14.581404,4000,1,0,0,4,4.4,270,22,4
162,121.056475,14.585318,1500,0,0,0,4,4.9,365,4,5
162,121.057508,14.58445,1500,1,0,0,4,4.8,229,11,5
162,121.056314,14.583764,1000,0,0,0,3,4.4,336,12,5
162,120.9796667,14.53133333,2000,1,0,0,4,4.0,520,10,5
162,120.9793333,14.54,2000,1,0,0,4,4.2,677,7,5
162,120.98009,14.55299,6000,1,0,0,4,4.9,621,40,4
162,121.056532,14.572041,1100,1,0,0,3,4.8,532,8,4
162,121.057916,14.567689,800,0,0,0,3,4.9,1070,16,3
162,121.06082,14.570849,900,1,0,0,3,4.2,488,31,3
162,121.075419,14.649503,800,0,0,0,3,4.8,294,16,5
162,121.0335917,14.59345,1000,1,0,0,3,4.2,458,10,3
162,121.03811,14.59889,700,0,0,0,3,4.3,223,23,3
162,121.05704,14.237082,800,0,0,0,3,3.6,29,13,6
162,121.0565874,14.23767897,850,0,0,0,3,4.0,72,24,6
162,120.951589,14.101834,1200,1,0,0,3,4.5,211,10,2
162,121.045878,14.55436,600,0,0,0,2,4.5,118,26,5
162,121.04622,14.549337,1500,1,0,0,4,4.4,392,23,5
162,121.053725,14.545858,3000,1,0,0,4,4.7,535,14,5
162,121.0534998,14.54565535,1800,1,0,0,4,4.5,618,29,5
30,-47.88213611,-15.75747222,45,0,0,0,2,3.7,11,24,5
30,-47.88816667,-15.75883333,60,0,0,0,3,3.8,11,5,5
30,-47.91566667,-15.83116667,50,0,0,0,2,3.2,11,14,5
30,-47.92366667,-15.83133333,150,0,0,0,4,4.1,12,12,5
30,-48.01666667,-15.83483333,100,0,0,0,4,4.3,29,8,5
30,-47.889,-15.7865,230,0,0,0,4,4.2,17,10,5
30,-47.8685,-15.819,230,0,0,0,4,4.9,30,10,5
30,-43.178826,-22.905293,100,0,0,0,4,4.8,29,19,4
30,-43.18669167,-22.97207222,60,0,0,0,3,4.7,24,4,4
30,-43.17583333,-22.96216667,90,0,0,0,3,4.5,29,9,4
30,-43.176,-22.96516667,170,0,0,0,4,4.2,11,4,4
30,-43.191,-22.98683333,60,0,0,0,3,4.8,19,9,5
30,-43.227042,-22.973507,100,0,0,0,4,4.9,40,18,4
30,-43.211425,-22.98520833,90,0,0,0,3,4.6,21,10,4
30,-43.203,-22.98533333,120,0,0,0,4,4.9,49,17,4
30,-43.20520833,-22.98531944,170,0,0,0,4,4.6,21,22,4
30,-43.219563,-22.966647,90,0,0,0,3,4.3,14,13,5
30,-43.227,-22.98416667,250,0,0,0,4,4.6,25,12,4
30,-43.22566667,-22.98516667,120,0,0,0,4,4.4,13,14,5
30,-43.18736944,-22.92481389,300,0,0,0,4,4.7,44,10,4
30,-43.21551111,-22.91370833,85,0,0,0,3,4.6,24,17,4
30,-46.64516667,-23.55066667,250,0,0,0,4,4.5,49,24,4
30,-46.64633333,-23.559,250,0,0,0,4,4.4,17,30,4
30,-46.657523,-23.55671,100,0,0,0,4,4.1,15,9,4
30,-46.666851,-23.581688,300,0,0,0,4,4.8,59,19,5
30,-46.67511,-23.582135,120,0,0,0,4,4.6,30,15,4
30,-46.666041,-23.561568,200,0,0,0,4,3.4,73,17,5
30,-46.66983333,-23.5655,300,0,0,0,4,4.3,39,19,5
30,-46.67133333,-23.59233333,230,0,0,0,4,3.9,12,9,5
30,-46.68133333,-23.56483333,120,0,0,0,4,4.3,68,5,4
30,-46.64159444,-23.54664167,150,0,0,0,4,4.3,46,7,4
30,-46.643425,-23.545163,400,0,0,0,4,4.4,37,16,5
30,-46.581672,-23.486535,100,0,0,0,4,4.4,22,15,5
30,-46.63566667,-23.58516667,70,0,0,0,3,4.6,58,6,4
30,-46.746958,-23.609207,120,0,0,0,4,4.1,11,24,4
216,-84.221535,31.610387,25,0,0,0,2,3.3,35,27,3
216,-84.207095,31.608743,10,0,0,0,1,3.3,25,19,3
216,-84.2194,31.6158,0,0,0,0,1,3.4,45,29,3
216,-84.206944,31.622412,10,0,0,0,1,3.4,26,30,3
216,-84.2193,31.616,10,0,0,0,1,3.5,67,11,3
216,-84.2091458,31.6155186,10,0,0,0,1,3.9,141,29,3
216,-84.205718,31.604905,25,0,0,0,2,3.7,147,12,3
216,-84.223278,31.612121,70,0,0,0,4,3.5,51,27,3
216,-84.2191,31.6156,25,0,0,0,2,3.6,88,14,3
216,-84.212,31.6104,10,0,0,0,1,3.8,153,28,3
216,-84.2228,31.6077,25,0,0,0,2,3.5,57,17,3
216,-84.2229,31.6185,25,0,0,0,2,3.5,58,19,3
216,-84.2164,31.6137,40,0,0,0,3,3.6,115,26,3
216,-84.2233,31.6118,40,0,0,0,3,3.5,51,27,3
216,-84.205025,31.605882,40,0,0,0,3,3.8,250,35,3
216,-84.1757,31.5985,10,0,0,0,1,3.7,117,13,3
216,-83.8389,31.5308,10,0,0,0,1,3.4,20,15,3
14,151.6688792,-30.5147169,20,0,0,0,2,3.5,25,15,3
216,-83.378273,33.957999,40,0,0,0,3,4.5,1821,17,3
216,-83.3654,33.9535,10,0,0,0,1,4.5,849,21,2
216,-83.4293,33.9652,10,0,0,0,1,4.6,917,9,3
216,-83.3389,33.9259,10,0,0,0,1,3.9,439,18,3
216,-83.375523,33.958198,10,0,0,0,1,3.7,289,9,3
216,-83.384004,33.959392,10,0,0,0,1,4.3,558,19,3
216,-83.3797,33.9584,10,0,0,0,1,4.2,613,7,3
216,-83.373596,33.958112,25,0,0,0,2,4.0,353,33,3
216,-83.33995,33.924275,25,0,0,0,2,4.1,387,34,3
216,-83.3872482,33.9415545,40,0,0,0,3,4.3,755,10,3
216,-83.381625,33.960112,10,0,0,0,1,4.2,800,4,3
216,-83.400887,33.963296,10,0,0,0,1,4.1,350,10,3
216,-83.4075,33.9584,40,0,0,0,3,4.1,464,24,3
216,-83.379251,33.957503,25,0,0,0,2,4.2,550,9,3
216,-83.383605,33.960571,10,0,0,0,1,4.1,543,16,3
216,-83.37967,33.959468,40,0,0,0,3,4.1,465,12,3
216,-83.38728,33.937502,10,0,0,0,1,4.4,546,17,3
216,-83.3764,33.9584,10,0,0,0,1,4.4,1098,17,3
216,-83.378881,33.958363,25,0,0,0,2,4.2,579,12,3
216,-83.3828224,33.9600227,10,0,0,0,1,4.1,374,23,3
216,-82.0865,33.4721,40,0,0,0,3,4.6,717,33,3
216,-82.0698,33.4791,40,0,0,0,3,4.9,548,18,3
216,-81.97,33.4765,25,0,0,0,2,4.5,631,15,3
216,-81.9684,33.474,10,0,0,0,1,3.9,372,16,3
216,-81.973006,33.477444,25,0,0,0,2,3.9,201,15,3
216,-81.965571,33.481779,40,0,0,0,3,3.8,332,19,3
216,-82.0327,33.4086,25,0,0,0,2,3.5,304,18,3
216,-81.974944,33.478231,40,0,0,0,3,4.3,368,18,3
216,-82.096,33.4827,25,0,0,0,2,4.1,430,39,3
216,-81.9721,33.4778,25,0,0,0,2,4.4,433,15,3
216,-81.9694,33.4764,10,0,0,0,1,4.0,380,20,3
216,-82.0505,33.5133,25,0,0,0,2,4.0,456,22,3
216,-82.0301,33.4848,40,0,0,0,3,4.2,647,9,3
216,-82.080788,33.467201,40,0,0,0,3,4.0,360,14,3
216,-82.0805493,33.5375868,25,0,0,0,2,4.0,227,16,3
216,-82.143793,33.544342,25,0,0,0,2,3.9,290,13,3
216,-82.126161,33.532249,10,0,0,0,1,4.1,270,7,3
216,-82.141284,33.521291,25,0,0,0,2,4.0,326,22,3
216,-82.1328,33.5406,35,0,0,0,3,4.3,317,12,3
